,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,se_ep
10,117385896956923904,117385896956923904,1316821953000.0,2011-09-23 23:52:33,+0000,,"""no rest for the sick"" - Michael Scott #TheOffice",en,['theoffice'],[],50472808,50472808,GregHackSauce,HackSauce,5,23,https://twitter.com/GregHackSauce/status/117385896956923904,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
11,117385793751883776,117385793751883776,1316821928000.0,2011-09-23 23:52:08,+0000,,Nobody is a bigger fan of sexual touching than me.  #theoffice,en,['theoffice'],[],186279481,186279481,Kimbers061910,Kimberly,5,23,https://twitter.com/Kimbers061910/status/117385793751883776,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
13,117385266246852608,117385266246852608,1316821803000.0,2011-09-23 23:50:03,+0000,,"RT @theofficenbc: DELETED SCENE: Watch ""The Secret of Planking"" - and yes, it's even more planking!  http://t.co/oJoUH8fZ #theoffice",en,['theoffice'],[],18700885,18700885,MJLL,Matt Llorente,5,23,https://twitter.com/MJLL/status/117385266246852608,['http://goo.gl/nM3y5'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
14,117385153558478851,117385153558478851,1316821776000.0,2011-09-23 23:49:36,+0000,,"Every time I eat collard greens, I just think about #TheOffice. ""No, no. They don't call them 'collard people.'""",en,['theoffice'],[],29004484,29004484,KathrynAC,Kathryn Cross,5,23,https://twitter.com/KathrynAC/status/117385153558478851,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
15,117385022603919360,117385022603919360,1316821744000.0,2011-09-23 23:49:04,+0000,,#theoffice can always make me smile,en,['theoffice'],[],343759981,343759981,GinaBorden,Gina Marie,5,23,https://twitter.com/GinaBorden/status/117385022603919360,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
16,117384982770622464,117384982770622464,1316821735000.0,2011-09-23 23:48:55,+0000,,"Dwight, you ignorant slut #theoffice",en,['theoffice'],[],89881367,89881367,CliffBett21,Alex Bettencourt,5,23,https://twitter.com/CliffBett21/status/117384982770622464,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
18,117384531408977920,117384531408977920,1316821627000.0,2011-09-23 23:47:07,+0000,,"Michael Scott: ""I was under the impression that this was going to be a rap"" Derryl: ""what's rap?"" MS: ""I'll make you a mix tape #theoffice",en,['theoffice'],[],251863302,251863302,avesmillard,averythang,5,23,https://twitter.com/avesmillard/status/117384531408977920,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
19,117384452790947840,117384452790947840,1316821609000.0,2011-09-23 23:46:49,+0000,,Ahhh #theoffice so happy to have you back!! :),en,['theoffice'],[],254207310,254207310,roo_ster,Melanie S,5,23,https://twitter.com/roo_ster/status/117384452790947840,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
20,117384300516745217,117384300516745217,1316821572000.0,2011-09-23 23:46:12,+0000,,Thought the office was gonna be terrible without Michael Scott.. but its jus as funny! haha #theoffice,en,['theoffice'],[],177273424,177273424,hammerhoops,Matt Clark,5,23,https://twitter.com/hammerhoops/status/117384300516745217,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
21,117384272733683712,117384272733683712,1316821566000.0,2011-09-23 23:46:06,+0000,,WARNING WARNING WARNING #theoffice,en,['theoffice'],[],169877393,169877393,The_Hassman,Hassan Mughal,5,23,https://twitter.com/The_Hassman/status/117384272733683712,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
22,117384126104997888,117384126104997888,1316821531000.0,2011-09-23 23:45:31,+0000,,"Oh & for those of you who actually watch the show,ANDY is the new manager! & James Spader is the new CEO. #TheOffice #noalert cc: @erksous",en,"['theoffice', 'noalert']",[],226891483,226891483,Nadesque,The Ess,5,23,https://twitter.com/Nadesque/status/117384126104997888,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
23,117383995465007104,117383995465007104,1316821500000.0,2011-09-23 23:45:00,+0000,,For those who can't get enough of #TheOffice ... Deleted scene - Ryan explains planking &gt;&gt;&gt;  http://t.co/4bL2t4Qh,en,['theoffice'],[],30473065,30473065,CappuccinoJunky,Shelly,5,23,https://twitter.com/CappuccinoJunky/status/117383995465007104,['http://tinyurl.com/3hruh9k'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
24,117383955052896256,117383955052896256,1316821490000.0,2011-09-23 23:44:50,+0000,,lmao its no f*cking tv show thats funnier than #TheOffice. I swear on my mama lol,en,['theoffice'],[],71909696,71909696,UncleMone_,Mr. Mone ⚜️,5,23,https://twitter.com/UncleMone_/status/117383955052896256,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
25,117383953098342400,117383953098342400,1316821489000.0,2011-09-23 23:44:49,+0000,,"Should have been included “@theofficenbc:DELETED SCENE: Watch ""The Secret of Planking"", it's more planking!  http://t.co/Dodm6tsi #theoffice”",en,['theoffice'],[],14609188,14609188,baywatchboy,Rob Embrey🇺🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿🐵,5,23,https://twitter.com/baywatchboy/status/117383953098342400,['http://bit.ly/oeMadB'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
26,117383524369178624,117383524369178624,1316821387000.0,2011-09-23 23:43:07,+0000,,RT @BellaLollipops Fact. Bears eat beets. Bears. Beets. Battlestar Galactica. --&gt; AH hahaha! That's from my favourite show! #TheOffice,en,['theoffice'],[],264417802,264417802,Inga_O,Inga_Oxo,5,23,https://twitter.com/Inga_O/status/117383524369178624,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
27,117383475883016192,117383475883016192,1316821376000.0,2011-09-23 23:42:56,+0000,,"I wonder what ppl like about me, probably my jugs, yeahhh probably my jugs #theoffice",en,['theoffice'],[],285282417,285282417,hojo0705,J.P. Hochhalter,5,23,https://twitter.com/hojo0705/status/117383475883016192,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
28,117383378994606081,117383378994606081,1316821353000.0,2011-09-23 23:42:33,+0000,,#TheOffice did a planking joke. barf.,en,['theoffice'],[],19949334,19949334,johnfied,John Fiedler,5,23,https://twitter.com/johnfied/status/117383378994606081,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
29,117383134026268673,117383134026268673,1316821294000.0,2011-09-23 23:41:34,+0000,,"DELETED SCENE: Watch ""The Secret of Planking"" - and yes, it's even more planking!  http://t.co/e2RFaXYr #theoffice",en,['theoffice'],[],15175368,15175368,theofficetv,The Office on Peacock,5,23,https://twitter.com/theofficetv/status/117383134026268673,['http://bit.ly/oeMadB'],[],0,,False,25,2,39,,#TheOffice,,,,,,,[],,,,,s8ep1
30,117382806962839552,117382806962839552,1316821216000.0,2011-09-23 23:40:16,+0000,,"He had no arms or legs, He couldn't see, hear or speak. This is how he led a nation. #MichaelScott #TheOffice",en,"['michaelscott', 'theoffice']",[],348894653,348894653,Da_MichaelScott,Michael Scott,5,23,https://twitter.com/Da_MichaelScott/status/117382806962839552,[],[],0,,False,3,0,1,,#TheOffice,,,,,,,[],,,,,s8ep1
31,117382784452001792,117382784452001792,1316821211000.0,2011-09-23 23:40:11,+0000,,Don't Plank in #TheOffice lol Shut it down!  http://t.co/jKBH6C0J,en,['theoffice'],[],377203696,377203696,NYDeezy,OlaNiyi Yusuf Dawodu,5,23,https://twitter.com/NYDeezy/status/117382784452001792,['http://www.youtube.com/watch?v=rdnKBqEIu48'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
32,117382677262381056,117382677262381056,1316821185000.0,2011-09-23 23:39:45,+0000,,"cant believe that the nard dog is the new boss, and robert california is a weird dude #theoffice",en,['theoffice'],[],199329963,199329963,AirJordan_1991,Jordan Kallenbach,5,23,https://twitter.com/AirJordan_1991/status/117382677262381056,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
33,117382635457740802,117382635457740802,1316821175000.0,2011-09-23 23:39:35,+0000,,Watching new episode of #theoffice,en,['theoffice'],[],376438450,376438450,JtBenz_23,JT,5,23,https://twitter.com/JtBenz_23/status/117382635457740802,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
37,117381757560553472,117381757560553472,1316820966000.0,2011-09-23 23:36:06,+0000,,#TheOffice season 8 has started! :D #Yeppie #thelittlethings,en,"['theoffice', 'yeppie', 'thelittlethings']",[],226891483,226891483,Nadesque,The Ess,5,23,https://twitter.com/Nadesque/status/117381757560553472,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
38,117381381566373888,117381381566373888,1316820876000.0,2011-09-23 23:34:36,+0000,,"Criminals are like raccoons, ok? You give them a taste of cat food pretty soon they'll be back for the whole cat. #theoffice",en,['theoffice'],[],257314941,257314941,idkhow2hurry,Anna,5,23,https://twitter.com/idkhow2hurry/status/117381381566373888,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
39,117381198308835328,117381198308835328,1316820833000.0,2011-09-23 23:33:53,+0000,,staying in tonight and catching up on my shows :] #Glee #Parenthood #SVU #BigBangTheory #TheOffice #ProjectRunway #Supernatural,en,"['glee', 'parenthood', 'svu', 'bigbangtheory', 'theoffice', 'projectrunway', 'supernatural']",[],298772626,298772626,amywags88,Amy,5,23,https://twitter.com/amywags88/status/117381198308835328,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
0,119924411833909249,119924411833909249,1317427182000.0,2011-09-30 23:59:42,+0000,,"""Meredith you've slept with so many guys your starting to look like one."" - Michael Scott #TheOffice",en,['theoffice'],[],39386531,39386531,schaudhr,Sunny Chaudhry,5,23,https://twitter.com/schaudhr/status/119924411833909249,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
1,119924146036682752,119924146036682752,1317427119000.0,2011-09-30 23:58:39,+0000,,"""...boom, roasted.!"" Lol #theoffice",en,['theoffice'],[],213500728,213500728,1nOnlyYaas,Yaas S.,5,23,https://twitter.com/1nOnlyYaas/status/119924146036682752,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
2,119923971364888576,119923971364888576,1317427077000.0,2011-09-30 23:57:57,+0000,,Sitting at home doing homework. By homework I mean eating Ramen and catching up on #Community and #TheOffice,en,"['community', 'theoffice']",[],161727610,161727610,EddieZTravis,Zodiac The Baptist,5,23,https://twitter.com/EddieZTravis/status/119923971364888576,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
3,119923433961299968,119923433961299968,1317426949000.0,2011-09-30 23:55:49,+0000,,#JamesSpader great addition to #theOffice. Hilarious!,en,"['jamesspader', 'theoffice']",[],11705322,11705322,Rarin,Daughter of Pastoralists,5,23,https://twitter.com/Rarin/status/119923433961299968,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
4,119923376608391168,119923376608391168,1317426935000.0,2011-09-30 23:55:35,+0000,,"Andy is no Michael Scott, Dwight's character barely exists, and Darryl is now uncool. #TheOffice #BringBackMichaelScott",en,"['theoffice', 'bringbackmichaelscott']",[],186629157,186629157,cpsoto0990,Christian Soto,5,23,https://twitter.com/cpsoto0990/status/119923376608391168,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
5,119923198757318656,119923198757318656,1317426893000.0,2011-09-30 23:54:53,+0000,,"spaniel because of your Spanish heritage, cocker because .... #theoffice",en,['theoffice'],[],196345272,196345272,heids8390,Heidi Moser,5,23,https://twitter.com/heids8390/status/119923198757318656,[],[],0,,False,0,0,1,,#TheOffice,,,,,,,[],,,,,s8ep2
6,119922280930353153,119922280930353153,1317426674000.0,2011-09-30 23:51:14,+0000,,I'm hoping to finish season 6 of #theoffice before I leave for tour. I'm DYING to watch the new season D:,en,['theoffice'],[],46276670,46276670,holajosegarzon,Jose Garzon,5,23,https://twitter.com/holajosegarzon/status/119922280930353153,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
7,119921648878096384,119921648878096384,1317426523000.0,2011-09-30 23:48:43,+0000,,I love and always will love Jim Halpert #TheOffice,en,['theoffice'],[],24943107,24943107,catherine_fagan,Catherine Fagan,5,23,https://twitter.com/catherine_fagan/status/119921648878096384,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
8,119921559900135424,119921559900135424,1317426502000.0,2011-09-30 23:48:22,+0000,,"LOVE Glad I know another fan!""@LaLatinaLoquita: @RachlWhite Don't you LOVE James Spader. Hilarious! #TheOffice"" @LaLicenciada",en,['theoffice'],[],67100041,67100041,RachlWhite,Rachlwhite,5,23,https://twitter.com/RachlWhite/status/119921559900135424,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
9,119921318476005377,119921318476005377,1317426445000.0,2011-09-30 23:47:25,+0000,,Relaxing on the couch watching #theoffice,en,['theoffice'],[],106168140,106168140,Coop_A_Loop8,Jimmy Cooperider,5,23,https://twitter.com/Coop_A_Loop8/status/119921318476005377,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
10,119920914233171969,119920914233171969,1317426348000.0,2011-09-30 23:45:48,+0000,,The roast of michael scott #TheOffice lmfao,en,['theoffice'],[],234066366,234066366,Amari_Vega,👑💦Amari Vega💦👑,5,23,https://twitter.com/Amari_Vega/status/119920914233171969,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
11,119920835438972928,119920835438972928,1317426329000.0,2011-09-30 23:45:29,+0000,,"""if it were an iPod it would be a shuffle!"" #TheOffice",en,['theoffice'],[],18369894,18369894,ashleylpitzer,Ashley Pitzer,5,23,https://twitter.com/ashleylpitzer/status/119920835438972928,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
12,119920315362050048,119916230109962240,1317426205000.0,2011-09-30 23:43:25,+0000,,@NassG // just left #TheOffice going home! Have some things to do for #TheMansion ! What are doing? Where are you going? @RosieLusiana,en,"['theoffice', 'themansion']",[],51458665,51458665,iamGObiana,Mr. G ✪,5,23,https://twitter.com/iamGObiana/status/119920315362050048,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
13,119919725114437632,119919725114437632,1317426065000.0,2011-09-30 23:41:05,+0000,,Me and heather are like Jim and Pam but not dating world Aha.. #Theoffice #Busting,en,"['theoffice', 'busting']",[],100687179,100687179,timothyicardi,timothy icardi,5,23,https://twitter.com/timothyicardi/status/119919725114437632,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
14,119919392787144704,119919392787144704,1317425985000.0,2011-09-30 23:39:45,+0000,,Nard Dog! That's my nickityname! #TheOffice  http://t.co/9vv5jThV,en,['theoffice'],[],15142606,15142606,adimike55,Adrian Hickman,5,23,https://twitter.com/adimike55/status/119919392787144704,['http://bit.ly/r96Nhi'],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
15,119919317419692032,119919317419692032,1317425967000.0,2011-09-30 23:39:27,+0000,,Andy Bernard is the shit. #theoffice,en,['theoffice'],[],20950348,20950348,apes2342,April,5,23,https://twitter.com/apes2342/status/119919317419692032,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
17,119918490118397952,119918490118397952,1317425770000.0,2011-09-30 23:36:10,+0000,,"RT @prettybrwneyez7: U slept with so many guys, ur starting to look like 1,BOOM! ROASTED!! Lol!! #theoffice &lt;&lt; that episode makes me scream!",en,['theoffice'],[],164315292,164315292,GqGreatness,Big Frankie,5,23,https://twitter.com/GqGreatness/status/119918490118397952,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
18,119918471692816384,119918471692816384,1317425766000.0,2011-09-30 23:36:06,+0000,,hahahhaha she called social services #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119918471692816384,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
19,119918119375486976,119918119375486976,1317425682000.0,2011-09-30 23:34:42,+0000,,AWWWWW a nard dog tattoo #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119918119375486976,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
20,119918073988919297,119918073988919297,1317425671000.0,2011-09-30 23:34:31,+0000,,"Loved today episode of #theOffice, great way to inspire your staff! :D",en,['theoffice'],[],164306162,164306162,CarlosRincon7,Carlos,5,23,https://twitter.com/CarlosRincon7/status/119918073988919297,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
21,119917863099314176,119917863099314176,1317425621000.0,2011-09-30 23:33:41,+0000,,"""my heart belongs to music...my ass belongs to these people"" #theoffice",en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119917863099314176,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
22,119917718328721408,119917718328721408,1317425586000.0,2011-09-30 23:33:06,+0000,,"""let's ink my stink"" #theoffice",en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119917718328721408,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
23,119917466536259584,119917466536259584,1317425526000.0,2011-09-30 23:32:06,+0000,,weird to think that jim and pam aren't married in real life #theoffice,en,['theoffice'],[],40387461,40387461,blakeacooper,Fire Marshall Mathers,5,23,https://twitter.com/blakeacooper/status/119917466536259584,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
24,119917428401651712,119917428401651712,1317425517000.0,2011-09-30 23:31:57,+0000,,LMFAO a baby coming out of his butt!!!! #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119917428401651712,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
25,119917387943378944,119917387943378944,1317425507000.0,2011-09-30 23:31:47,+0000,,I love that Andy has two pictures of Here Comes Treble in his office. #theoffice,en,['theoffice'],[],21243099,21243099,Kiley_Nicole,Kiley,5,23,https://twitter.com/Kiley_Nicole/status/119917387943378944,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
26,119917316887687168,119917316887687168,1317425490000.0,2011-09-30 23:31:30,+0000,,lmfao! 1 day to get 5000 points #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119917316887687168,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
27,119917282624405504,119917282624405504,1317425482000.0,2011-09-30 23:31:22,+0000,,#NW Michael Scott Roast episode of #TheOffice #Dying,en,"['nw', 'theoffice', 'dying']",[],160803960,160803960,BrookieAlia,Jill Zarin’s “HIIIIIII”,5,23,https://twitter.com/BrookieAlia/status/119917282624405504,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
28,119917150440931328,119917150440931328,1317425451000.0,2011-09-30 23:30:51,+0000,,"Oscar, you're gay. Andy, cornell called and they said you suck....and you're gayer than Oscar! #lolling #omg #theoffice",en,"['lolling', 'omg', 'theoffice']",[],154902906,154902906,MargaretGrace67,Margaret mccormick,5,23,https://twitter.com/MargaretGrace67/status/119917150440931328,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
29,119917112432132097,119916840297304064,1317425442000.0,2011-09-30 23:30:42,+0000,,@NotCoachTito Not fair that you and Michael Scott leave in the same year. Not fair at all. #redsox #BuyABrick #TheOffice,en,"['redsox', 'buyabrick', 'theoffice']",[],15760865,15760865,drjefflo,Dr. Jeff,5,23,https://twitter.com/drjefflo/status/119917112432132097,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
30,119917106614632450,119917106614632450,1317425440000.0,2011-09-30 23:30:40,+0000,,lmao i love the point tracker #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119917106614632450,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
31,119916865186316288,119916865186316288,1317425383000.0,2011-09-30 23:29:43,+0000,,"You slept with so many guys, ur starting to look like one,BOOM!! ROASTED!! Lol!! #theoffice",en,['theoffice'],[],62195502,62195502,prettybrwneyez7,tSpence,5,23,https://twitter.com/prettybrwneyez7/status/119916865186316288,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
32,119916781098905601,119916781098905601,1317425363000.0,2011-09-30 23:29:23,+0000,,wow they are actually working lol #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119916781098905601,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
33,119916551494320128,119916551494320128,1317425308000.0,2011-09-30 23:28:28,+0000,,"""Stanley, you crush your wife during sex. Boom roasted"" -Michael. #theoffice LMAO!",en,['theoffice'],[],33071958,33071958,_KayBeez,Beezus 👑,5,23,https://twitter.com/_KayBeez/status/119916551494320128,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep2
34,119916199185354752,119916199185354752,1317425224000.0,2011-09-30 23:27:04,+0000,,hahahhahah meredith wants the vibrator #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119916199185354752,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
35,119916110144479233,119916110144479233,1317425203000.0,2011-09-30 23:26:43,+0000,,lmfao these incentives #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119916110144479233,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
36,119916034537963520,119916034537963520,1317425185000.0,2011-09-30 23:26:25,+0000,,id rather die than take walks with angela #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119916034537963520,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
37,119914402026762241,119914402026762241,1317424796000.0,2011-09-30 23:19:56,+0000,,umm why can't erin carry coffee and she brings him old coffee! #theoffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119914402026762241,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
38,119914278953304064,119914278953304064,1317424766000.0,2011-09-30 23:19:26,+0000,,That was less than stellar. #TheOffice is 0 for 2 to start off the season,en,['theoffice'],[],264471117,264471117,_Asemota_,Andre,5,23,https://twitter.com/_Asemota_/status/119914278953304064,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
39,119913807282839552,119913807282839552,1317424654000.0,2011-09-30 23:17:34,+0000,,"lmfao ""c-span. cocker spaniel. spaniel cuz of your bloodline and cocker cuz..."" #theoffice",en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,23,https://twitter.com/mingfire/status/119913807282839552,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep2
