season,episode,desc
2,5,"Downsizing leads corporate headquarters to order Michael to fire somebody by the end of October. Michael procrastinates until Halloween, when he still has not decided whom to fire. When he decides to fire Quality Assurance representative Creed Bratton, Creed manages to convince Michael to fire Supplier Relations representative Devon White instead."
2,6,"Michael and Dwight get in an argument about which of them could beat the other in a fight. They decide to settle this by having a showdown at a local dojo. After a comedic fight, Michael finally emerges victorious.  The two are cold to each other throughout the day until, as a show of good faith, Michael promotes Dwight to Assistant Regional Manager."
2,7,"Michael and the Vice President of Northeast Sales, Jan Levinson, meet an important client.  Michael angers Jan with his antics and refusal to talk business, but he and the client form a bond, and he closes the deal.  Jan is impressed, so much so that she spends the night with Michael. Back at the office, the employees find and act out a screenplay written by Michael."
2,8,"Michael conferences with the employees during their annual performance reviews, while he worries about his own upcoming performance review with Jan.  He takes tips from the suggestion box on ways to better himself, but the attempt ends in disaster when Jan discovers that Michael has told his employees about their romantic encounter."
2,9,"Jim is hosting a party at his home, but has not invited Michael, who learns of this when he begins spying on his employees' emails. Pam begins to notice Dwight and accountant Angela Martin engaging in odd interactions, and suspects that they are in a relationship, but dismisses the idea after comparing it to her friendship with Jim. Meanwhile, unable to distract himself with an improvisational comedy class, Michael crashes Jim's party."
2,10,"The office Christmas party turns into a disaster when Michael decides to give all of the employees the ability to steal each other's Secret Santa gifts.  While Michael attempts to procure a better gift, the rest of the staff all attempt to win the iPod that Michael originally bought for Ryan.  Seeing that his idea has ruined the party, Michael buys alcohol for everyone."
2,11,"Michael rents a boat for the annual motivational cruise, where he angers the captain with his antics.  A drunken Roy publicly sets a wedding date without consulting his fiancée Pam. This makes a saddened Jim realize that he is still in love with Pam and he breaks up with his girlfriend Katy.  Jim reveals his feelings for Pam to Michael, but hides the fact that he still loves her."
2,12,"Michael burns his foot on a George Foreman grill while at his own home. He requests that one of the employees of the office come to his house to pick him up. Dwight volunteers, but crashes his car. Dwight suffers a concussion, but it brings out his good-natured side, and he is kind and helpful to the other employees. Jim later takes Michael and Dwight to the hospital."
2,13,"Jim becomes nervous when Michael almost reveals that he is in love with Pam. He asks Michael not to tell anyone, but the secret gets out anyway.  Jim then tells Pam that he had a crush on her years ago, but pretends that it ended when he found out she was engaged.  Meanwhile, accountant Oscar Martinez calls in sick, prompting Dwight to spy on him to determine whether he was telling the truth.  His investigation reveals that Oscar is gay, but Dwight fails to notice this."
2,14,"Michael discovers someone has defecated in his office.  He suspects that one of his employees did it out of hate, leading him to begin resenting them.  He later realizes that it was his ""best friend,"" traveling salesman Todd Packer who did it, and instantly finds the humor in the action."
2,15,"Jan comes to Scranton to lead a seminar for the women in the office. Michael becomes upset when he is left out, and decides to host his own seminar for the men. When he tries to rally the staff to unionize, Jan's threat of a lawsuit ends the attempt. Later, after Jan recommends to Pam that she should enter a graphic design course, Roy persuades her not to go through with it."
2,16,"On Valentine's Day, Michael leaves for New York City for a meeting between branch managers and the company's new CFO, David Wallace.  Michael tells the other branch managers that he and Jan are in a relationship, and a disgruntled manager later tells David. Michael is able to save both his and Jan's jobs when he tells David that he was joking. At the office, saleswoman Phyllis's boyfriend sends her multiple gifts, and Dwight and Angela secretly exchange gifts of their own."
2,17,"Dwight is named Dunder Mifflin's top salesman, and is given the honor of speaking at a salesman's convention.  He becomes nervous, and Jim ""helps"" by giving Dwight lines from speeches by controversial figures like Adolf Hitler and Benito Mussolini.  At the convention, Dwight becomes nervous, but after a failed attempt by Michael to entertain the crowd, Dwight goes to the stand and delivers a rousing speech."
2,18,"The employees bring in their daughters for the annual Take Your Daughter to Work Day. Michael finds enjoyment in talking with the children, especially Toby's daughter Sasha, making him realize that he wants a family. Salesman Stanley Hudson's teenage daughter seems interested in Ryan, leading Stanley to reprimand Ryan for it after customer service representative Kelly Kapoor misleads Stanley about their conversation."
2,19,"Michael is excited about his birthday, but the rest of the office is instead focused on accountant Kevin Malone, who is awaiting the results from a skin cancer test. Jim and Pam leave to purchase items to comfort Kevin, and later in the day the entire staff goes to the ice rink.  Michael encounters his realtor Carole there, and makes a good impression when he entertains her kids.  Kevin's test results come back negative for cancer."
2,20,"Dwight finds a leftover joint in the parking lot, and begins an investigation to find the owner.  After no one confesses, he schedules a drug test. Michael, worried that he will not pass, pressures Dwight for a cup of clean urine.  Dwight is conflicted, but gives in to Michael's demand, and afterward resigns as a volunteer sheriff's deputy for breaking his oath."
2,21,"Michael learns that Toby keeps files detailing all of the complaints employees have had against each other.  Angry that the disputes have not been resolved, Michael reads them out loud, which brings up old conflicts and leaves the employees bitter and angry. Dwight's conflict resolution meeting with Jim causes the latter to have an epiphany about his work situation. Angered that someone complained about her wedding planning, Pam tries to figure out who it was."
2,22,"Michael organizes a casino night for charity, but inadvertently invites two dates, his boss Jan Levinson and his realtor Carole Stills.  He ends up beginning a relationship with Carol. Jan reacts calmly, but later leaves early with an overnight bag, revealing that she had intended to stay with Michael. Jim considers transferring to another branch, but is hesitant to say exactly why. At the casino night, Jim finally reveals to Pam that he is in love with her. At first, Pam claims that she does not feel the same, but later the two share a kiss."
3,1,"Months have passed since the end of season two. Jim has transferred to the Stamford branch, and Pam has broken off her engagement with Roy. Michael learns that Oscar is gay, and with Dwight, contacts Jim regarding buying a ""gaydar"" machine to figure out who else in the office is gay. Michael accidentally outs Oscar to everyone. Feeling bad, Michael hosts a meeting about homosexuality, where he attempts to present himself as open-minded and progressive, and ends up forcing Oscar into kissing him. This results in Dunder Mifflin giving Oscar a three month paid vacation and a company car. Meanwhile, Jim attempts to adjust to life at the Stamford branch, with his new co-workers Andy and Karen. Jim's attempts to make Andy the 'new Dwight' fail when Andy reacts violently to Jim's Jell-O prank."
3,2,"Michael and Dwight leave for a convention in Philadelphia, where they meet Josh, the manager of Dunder Mifflin Stamford, and Jim. Michael feels threatened by Josh, and attempts to one-up him by throwing a party in his hotel room. When no one shows up, Jim takes pity on Michael, telling him that he is a good boss and was not the reason he left Scranton. Meanwhile, Kelly sets Pam up on a blind date that goes poorly. Michael ends up making a big sale without putting much effort."
3,3,"Michael's managerial tactics lead Angela and Dwight to conspire to take Michael's job. Dwight meets with Jan, who, after listening to Dwight's propositions, later calls to inform Michael that his own employees are conspiring against him. Michael informs Dwight that Jan has promoted him to regional manager in an attempt to make Dwight confess. However, Dwight immediately takes over the office and begins making sweeping changes. Michael, unable to control his anger, reveals to Dwight that he knows everything. Dwight begs for forgiveness and offers to do his laundry to make it up to him. Meanwhile, at Dunder Mifflin Stamford, Josh's managerial tactics include playing Call of Duty as a team-building exercise. Unfortunately, Jim is less than competent at the game."
3,4,"Michael learns that his former boss Ed Truck has died. Seeing that his employees are not shaken by the news, Michael begins to ponder his own mortality. While mourning, Michael learns that a bird was killed by flying into a window earlier that morning, and he decides to have a funeral for the bird later that day. Meanwhile, at Dunder Mifflin Stamford, Jim and Karen embark on a quest for Karen's favorite potato chips."
3,5,"Dwight takes Ryan out to the Schrute Family Beet Farm for an initiation session before his first sales call. The initiation, involving odd styles of hazing and bizarre parables, angers Ryan, who does not make the sale. Back at the office, Jan asks Pam to document Michael's activities for a day. Michael, oblivious, spends most of the day waiting in line for a free pretzel in the lobby."
3,6,"Kelly invites the entire staff to a celebration of Diwali, the Hindu Festival of Light. At the festival, Michael is inspired by his conversation with Kelly's parents over Hindu marriage customs, and makes an impromptu proposal to his girlfriend Carole. Carole says no, and leaves without Michael. In Stamford, Jim, Andy, and Karen stay late to do sales figures. Andy and Jim do shots to pass the time, which leads Karen to have to drive a drunk Jim home."
3,7,"Jan informs Michael that the Dunder Mifflin board has voted to close the Scranton branch, and for the Stamford branch to absorb the remnants of Scranton. Michael announces this to the office, leading the employees to plan for their futures. Michael, in a last-ditch effort to save his branch, leaves with Dwight to surprise CFO David Wallace at his home. They wait outside all day, but David never shows up, and they resign themselves to defeat. However, Josh, the regional manager of the Stamford branch, announces that he is leaving the company to take another job, and a decision is made for the Scranton branch to absorb the Stamford branch instead. Michael and Dwight celebrate, believing that they were the ones who brought about the change."
3,8,"Due to Dunder Mifflin Stamford closing, six members of the staff (Jim, Karen, Andy, Martin, Tony, and Hannah) move to and take jobs in Scranton. Michael attempts to welcome his new employees, but naturally ends up alienating and offending them; eventually he accidentally humiliates Tony, who announces that he is quitting. Michael becomes defensive, and fires him instead. Andy begins sucking up to Michael, causing Dwight to become jealous. Excited that he is back, Pam tries getting her old friendship back with Jim, but things get weird when she asks him out for coffee to catch up, but he turns her down, revealing that he has begun dating Karen."
3,9,"Michael learns that Martin, one of the former Stamford employees, is a former criminal. The staff learns that his time was spent in a white-collar prison, and begins to wonder if Martin's prison is better than Dunder Mifflin Scranton. Michael then gives a presentation on the miseries of prison, with most of his ideas fueled from television prisons. Bitter that he is not being taken seriously, he then locks his employees in the conference room. At the end of the day, Martin decides to quit rather than continue working with Michael."
3,10,"Michael plans to invite Carole to Jamaica with him for Christmas, but she breaks up with him before he has a chance. Andy takes Michael to a local Benihana to cheer him up, and they both convince waitresses to come back to the Christmas party with them. Back at the office, a disagreement within the Party Planning Committee leads Karen and Pam to create their own Christmas party, separate from Angela's. When the majority of the office decide to go to Karen and Pam's party, Angela becomes upset, and seeing this, Karen and Pam decide to combine the parties. Soon after, Michael and Andy's dates leave them, but Michael nevertheless finds someone to go to Jamaica with him."
3,11,"Michael returns from Jamaica, and accidentally lets slip that he went with Jan. When he tries to send a revealing picture of Jan to Todd Packer, he inadvertently sends it to the packaging department, and soon the picture is spread throughout the entire company. Jim and Karen have an argument over Karen moving into an apartment close to where Jim lives, until Pam mediates a solution between them. Although she appears happy to have helped, she is later seen crying. Jan, who has yet to find out about the picture of her and Michael, later appears at the office and tells Michael that she wants a relationship."
3,12,"Dwight arrives late for an early morning meeting, where Michael announces that the members of the sales staff are teaming up for sales calls in an Amazing Race-esque challenge. Andy spends the day trying to convince Michael that Dwight is untrustworthy. Meanwhile, Kevin announces to Angela that their quarterly tax reports weren't received in New York, but Angela assures him that the problem was handled. When the teams return, Andy discovers that Dwight's morning tardiness was due to delivering the reports to New York for Angela. Dwight, instead of revealing their relationship, resigns his position."
3,13,"Oscar's return from his vacation prompts Michael to host a Mexican-themed party. Meanwhile, Jim searches for someone to play a prank with, eventually turning to Pam; they steal Andy's phone, hide it in the ceiling and repeatedly call it, playing his homemade ring tone over and over. Andy becomes more angry each time the phone rings, and eventually punches a hole in the wall out of frustration. As a result of this outburst, Andy is sent to anger management training. Michael, increasingly distraught over Dwight's resignation in the previous episode, leaves and confronts him at Staples, inviting him back to Dunder Mifflin. After being confronted by Karen, Jim reveals to her that he still has feelings for Pam."
3,14,"The women of the office hold a bridal shower for Phyllis, while the men hold a bachelor's party for her groom-to-be, Bob Vance. After being convinced to hire a stripper for both the men and the women's parties by Todd Packer, Michael orders Jim and Dwight to choose the strippers. For the men's party, Dwight hires a stripper, while for the women's party, Jim hires a Ben Franklin impersonator."
3,15,"Phyllis lets Michael be a part of her wedding in return for allowing her to take extra time off work for her honeymoon. Michael attempts to dominate the festivities, and acts as the host of their reception. Pam is incredulous to see Phyllis has used most of the plans for her own cancelled wedding with Roy. Feeling lonely, she approaches Roy and strikes up conversation, and they leave the wedding together."
3,16,"In an attempt to get extra credit, Ryan invites Michael to his business school as a guest speaker. Michael attempts to make a motivational speech, unaware that Ryan has introduced him as an ineffectual manager of an out of touch company. Meanwhile, a bat is discovered in the office, leading Dwight to lead an attempt to capture it. That night, Pam displays her artwork at an art show, and is disappointed when few of her co-workers attend. Michael finally arrives after giving his speech and, in a moment of genuine kindness, compliments her work and buys her painting of their office building."
3,17,"The Dunder Mifflin CFO David Wallace holds a cocktail party at his house, which Jan, Michael, Jim, Karen and Dwight attend. Michael's antics around their ""coming out"" appear to annoy Jan, but she later attempts to have sex with him in a bathroom. Michael feels uncomfortable and turns her down, angering her. Meanwhile, Dwight assesses the structural soundness of the house. Jim and David Wallace bond over shooting hoops when they see Dwight on the chimney. While at a bar, Pam reveals to Roy that Jim kissed her at the casino night. Roy is infuriated and proceeds to trash the bar, assisted by his brother. Pam immediately breaks up with Roy, who then declares that he's going to 'kill' Jim."
3,18,"Roy enters the office and attempts to attack Jim, but Dwight's timely intervention with pepper spray saves Jim from injury. Roy is instantly fired, but later apologizes separately to both Jim and Pam and encourages the latter to pursue the former. Jim attempts to thank Dwight for saving him, but is frustrated when Dwight refuses to accept his thanks. Meanwhile, Michael and Darryl attempt to get a pay raise from Jan in New York."
3,19,"Michael feels ashamed when, during a safety training course, the warehouse employees make fun of him for having a safer work environment. Determined to show that office life can be dangerous, he decides to demonstrate depression effects by faking a suicide attempt. His plan to jump off of the roof and onto a bouncy castle go awry when the employees discover what he is doing and are forced to talk him down. Meanwhile, Andy attempts to endear himself to Dwight after returning from anger management."
3,20,"Paper from Dunder Mifflin Scranton with an obscene cartoon watermark left by a disgruntled paper-mill ex-employee are accidentally sent out, throwing the business into damage control. The accountants attempt to provide service for angry customers, while Michael contacts the media in a misguided attempt to avoid scandal. Meanwhile, Jim and Andy go to a local high school to apologize personally to the principal, and they bump into Andy's girlfriend, who turns out to be a student there."
3,21,"After Phyllis is the victim of a flashing in the parking lot, Michael attempts to host a seminar on women's issues. When it doesn't go as expected, he takes the women of the office on a trip to the mall, while Dwight and Andy search for the flasher and distribute flyers. At the mall, Michael discusses his discomfort in his relationship with Jan, and the women advise him to break up with her. As Michael breaks up with Jan via voicemail, she suddenly arrives at the office."
3,22,"David Wallace calls and informs Michael that he is a candidate for an opening position in the corporate office in New York. Believing himself the obvious choice for the job, Michael goes about choosing a successor. He takes his employees to the beach and compels them to compete in challenges to determine which of them will take over his position, not realizing that Jim and Karen are also contenders for the job. In the evening, on a high after a firewalk, Pam confesses that she is tired of being ignored, and tells Jim that he was the reason she called off her wedding."
3,23,"After evaluating their relationship, Michael decides to repel any advances that Jan makes towards him, but instantly changes his mind and gives her a second chance once he sees her with a breast enhancement. Michael, Jim, and Karen then all travel to New York to interview for the position that is opening in the corporate office. Before he leaves, Michael names Dwight as his successor in Scranton, and Dwight, with Andy as his new number two, immediately goes about changing the appearance and structure of the office. In New York, Michael's interview ends as he learns that the new position is linked to Jan's upcoming dismissal. Jan learns of the move, and confronts David, with Michael following her. Jan, now unemployed, decides to move in with a hesitant Michael, who now returns to his position as Scranton manager. Jim's interview goes well until he finds a good-luck memento left for him by Pam. Realizing he cannot leave her again, he returns to the office alone, where he asks her on a date. The corporate job is given to an ecstatic Ryan, who immediately breaks up with Kelly."
4,1,"After Michael hits Meredith with his car in the carpark of Dunder Mifflin Scranton, she learns she is infected with rabies. Angela asks Dwight to care for her sick cat, but Dwight mercy-kills the animal, leading to relationship problems. After being videoed in public by the camera crew, Pam announces that she and Jim are now dating, but they do not share this with their co-workers. Feeling guilty about the incident with Meredith, Michael decides to host ""Michael Scott's Dunder Mifflin Scranton Meredith Palmer Memorial Celebrity Rabies Awareness Pro-Am Fun Run Race For The Cure"", although his employees are less than enthused. The donation for the run only amounts to $500, out of which Michael ends up spending around $250 on a big cheque and fake nurse. Toby wins the race, and a depressed and dehydrated Michael is finally forgiven by Meredith."
4,2,"Jim and Pam's relationship is outed to the rest of the office after a jealous Toby files a PDA complaint. Ryan returns to the offices for the first time since his promotion to introduce ""Dunder Mifflin Infinity"", his plan to use technology to revitalize the uncompetitive company. Creed warns Michael of the possible effects this change will have with older workers, leading Michael to hold an ""ageism seminar"". Meanwhile, Kelly tries to trick Ryan into getting back together with her. Michael, believing the personal touch is more important than technology, leaves with Dwight to present food gift baskets to seven former clients to try to win them back. After presenting six of the baskets with no luck, Michael gets frustrated and causes a scene at one of the clients’ office. On their return, unable to properly understand his rental car's GPS, Michael drives it into Lake Scranton."
4,3,"As the new brainchild of Ryan, the new Dunder Mifflin Infinity website, is about to be released, the staff of Dunder Mifflin Scranton prepare to host a party as part of a company-wide video chat room. Dwight, wanting to prove to Angela that he can beat technology, tries to outsell the new computer, which he ultimately does. Michael misunderstands an invite to the digital party as an invite to the actual party in New York. Later, at the party, Dwight and Michael kidnap a pizza delivery boy, although they later release him. At the end of the chat room, Michael humiliates Ryan in front of every branch of Dunder Mifflin. Andy decides to pursue Angela, to Dwight's dismay."
4,4,"When Jan, now living with Michael in his condominium, forces costly changes in Michael's life, he worries about his financial situation. To remedy the problem, Michael leaves work early for a late night job as a telemarketer until 1 a.m. When Ryan finds out, he forces Michael to quit, who then fears that there is no way in which he can support Jan and himself. He hops a train to run away, but Jan meets him and tells him that they can work together to find a way to live. Meanwhile, Dwight pines over Angela, who is later asked out by Andy. After a pep-talk by Jim, Dwight returns as his normal annoying self, to Jim's pleasure. Pam and Jim visit Dwight's family farm, which he has fashioned into a bed and breakfast."
4,5,"Although informed that he and his employees can only be in the Dunder Mifflin Infinity commercial for a few seconds, Michael decides to produce a full commercial with the Scranton staff. Meanwhile, the progression of Andy and Angela's relationship forces Dwight to sink into a depression, where he attempts to remove himself from his life by playing Second Life. Although rebuffed by the corporate office, Michael's rejected version of the Scranton commercial is well received by both the employees as well as other bar patrons at Poor Richard's."
4,6,"Karen, now Regional Manager of Dunder Mifflin Utica, attempts to lure Stanley away from Dunder Mifflin Scranton. Pranking Karen for her attempt, Michael and Dwight trick Jim into accompanying them on a ""panty raid"" to Utica. When they are discovered, Karen scolds them and is further angered when Jim informs her that he and Pam are now dating. Back at Scranton, Michael bids Stanley goodbye, who then tells Michael he's decided to stay, revealing that he only said he had left to try to get a raise."
4,7,"When Michael is not invited to a company wilderness retreat hosted by Ryan, he decides to prove that he has the ability to survive on his own. Dwight drops Michael in the middle of a forest, and although told to leave, stays to prevent Michael from injury. When Michael almost eats poisonous mushrooms, Dwight jumps out to save him just in time. Meanwhile, back at the office, Jim, as the number two, decides to combine birthday parties for three members of the staff whose birthdays fall in quick succession. The plan, though, is poorly received by the staff, and Jim returns to having individual birthdays just as Michael and Dwight come back."
4,8,"Michael is thrown in the middle of a deposition between Dunder Mifflin and his girlfriend Jan after Jan sues the company for wrongful termination. Although the case initially goes well for Jan, Michael's actions lead to Dunder Mifflin easily getting the upper hand. Meanwhile, back at Dunder Mifflin Scranton, a ping pong craze turns into a battle of the relationships between Pam and Jim and Kelly and Darryl."
4,9,"Michael and Jan invite Jim, Pam, Andy, and Angela to a dinner party at the couple's condominium. When Michael and Jan begin to argue after the discussion of having children arises, the party's guests go to various measures to try to escape. The party is thrown into further confusion when Dwight, still pining for Angela, arrives with his former babysitter as his date. As the fighting between Michael and Jan escalates, the police are eventually called by a neighbor. The party culminates with Michael leaving Jan."
4,10,"After seeing a model in a catalog while searching for a chair, Michael realizes that he has not accomplished his dream of finding a soul mate in life. Dwight embarks on a search for the chair model, while Michael takes names of friends of office employees for dates. Michael goes on a blind date with Pam's landlady, which ends poorly. Meanwhile, Andy and Kevin meet with the bosses of the other companies in the building to discuss the issues of parking, while Jim and Pam discuss the future of their relationship."
4,11,"Michael and Dwight decide to surprise Ryan in New York and to meet his friends. They find him clubbing and join him for the night. Ryan is surprisingly friendly, though it could be a side effect of his cocaine habit. Meanwhile, the Scranton branch is upset when they find out they have to come in on a Saturday for Ryan's website project. Jim suggests that everyone work late instead. The plan goes well — until they find they are locked in on the grounds with no way to escape. Toby lets slip his affection for Pam and impulsively announces he will be moving to Costa Rica."
4,12,"When Stanley snaps at Michael during a meeting, Michael tries to give Stanley an attitude adjustment. Michael's plan to fake-fire Stanley only worsens the situation. To punish Andy for his relationship with Angela, Dwight lowballs Andy to buy his car and then resells it for a profit. Meanwhile, Pam deals with unwanted attention from her ""back up"" glasses after spending the night at Jim's. Jim receives a formal warning from Ryan about his job performance."
4,13,"In response to Ryan's warning, Jim hits the links with Andy and Kevin to attempt to land his biggest client ever. Michael, Pam, Oscar, and Darryl set up a booth at a job fair at Pam's old high school to find applicants for Dunder Mifflin's summer internship, but Michael's shenanigans produce failure. When all the other office workers duck out early, Dwight and Angela have a tense day alone in the office. Pam investigates graphic arts opportunities which may take her away from Scranton."
4,14,"After Angela refuses to give in to Michael's unreasonable demands, Phyllis takes over the party planning committee and throws a huge bash for Toby's goodbye party. Dwight, with Meredith, hazes the new HR woman, Holly Flax (Amy Ryan), making her think Kevin is mentally disabled. Holly and Michael seem to make a romantic connection, which is cut short when Jan returns from Arizona, pregnant from a sperm donor; Michael ambivalently agrees to help her through the birth process. Pam accepts a three month training program in New York, and just as Jim is about to propose to her, Andy publicly proposes to Angela who reluctantly agrees. Angela is later caught having sex with Dwight in the office. Ryan's downfall is complete as he is dragged from the New York office after committing fraud related to the website."
5,1,"Over eight weeks of the summer, a Dunder Mifflin weight-loss initiative causes the branch to diet and become obsessed with their weight. Michael pursues a friendship with his new HR rep, Holly. Andy plans his wedding to Angela, while she continues her affair with Dwight. Jim misses Pam who attends art school in New York, and he finally proposes. A disgraced Ryan returns to the Scranton office as a temp."
5,2,"Following Ryan's recent scandal, Holly holds an ethics seminar. Everyone speaks freely about their unethical behavior at work and Meredith causes a rift between Michael and Holly when Meredith admits a supplier gives her discounts on products and steak coupons in exchange for sex. Holly is ostracized by the staff, but when she is humiliated by the head of Human Resources, Michael once again supports her. Meanwhile, Jim makes Dwight comply with the company's ""time theft"" policy by timing every second of his personal activity."
5,3,"Michael practices for the birth of Jan's baby by having Dwight go over possible birthing scenarios with a watermelon baby. When Jan arrives for the office baby shower, she has already had baby Astrid, excluding Michael from the process, and he feels disconnected from the baby. Meanwhile, Michael pretends to dislike Holly for Jan's benefit, but Jan senses their connection and asks Michael not to date Holly. Michael goes to Holly for comfort and they agree to date. The separation between Jim and Pam starts to take a toll on their relationship."
5,4,"Michael and Holly have sex in the office on a date, they forget to lock the main door which inadvertently leads to the office being robbed. Michael holds an auction to raise money for all the items lost. On Phyllis's advice, Dwight gives Angela an ultimatum to break up with Andy, which she refuses to do. Pam gets a part-time job at corporate to pay for art school, and Jim is further unsettled after Roy insinuates that he is losing her."
5,5,"When corporate transfers Holly to Nashua, Michael (with Darryl's help) moves her back to New Hampshire. Their plans to continue dating are dashed and they break up, and Darryl teaches Michael to sing the blues. Pam meets Jim's brothers, who pull a prank on Jim, which embarrasses her. Dwight torments Andy by becoming a fan of Cornell University. Pam is embarrassed when she is the only person at corporate wearing a costume on Halloween."
5,6,"Dwight and Jim are shocked when they receive poor marks on their annual customer survey reports. They learn that Kelly has sabotaged their scores for blowing off her America's Got Talent wrap party. Kelly and a sympathetic Michael relish their discomfort. Through Angela's manipulations, she and Andy book their wedding at Schrute Farms B&B. Pam and Jim spend every minute together using their Bluetooth phones, including Jim overhearing Pam's friend Alex asking her to stay in New York."
5,7,"CFO David Wallace sends Michael to Winnipeg, Manitoba for business. Andy and Oscar accompany him and become unlikely friends when they drunk dial Angela. Although Michael makes the sale and has a one-night stand, he rebukes David for transferring Holly. Jim counts down the days until Pam gets back from art school; she fails a course but comes back to Scranton anyway. Ryan seduces Kelly, who in turn breaks up with Darryl."
5,8,"HR Rep Toby returns from Costa Rica, driving Michael insane. He and Dwight attempt to get Toby fired for cause by planting ""drugs"" (actually caprese salad) in Toby's desk. Pam is upset that someone in the office has made a mess in the microwave and will not clean it up. Jim surprises Pam by buying his parents' old house; despite its '70s decor, Pam loves it. Ryan breaks up with Kelly to travel to Thailand."
5,9,"The office must spend a $4,300 surplus or lose it in next year's budget. Factions break out and court Michael to get what they want—Oscar and Jim want a new photocopier, Pam, Stanley, and others want new chairs. They finally agree on the chairs to prevent Michael from earning a bonus by returning the surplus. Dwight takes Angela and Andy to Schrute Farms to settle wedding plans. In a mock ceremony, Dwight secretly weds Angela. Angered at his deception, she plans to have the wedding annulled."
5,10,"Phyllis's Moroccan-themed holiday party is interrupted when Meredith's hair catches on fire during a drunken bellydance; Michael stages an intervention and attempts to force Meredith into rehab. Dwight makes a killing selling a popular Christmas toy—""Princess Unicorn"". Phyllis continues to torment Angela on the Party Planning Committee. When she revolts, Phyllis shocks everyone by revealing Angela and Dwight's affair to everyone (except Andy)."
5,11,"The office is tense because Andy still has not found out about Angela's affair with Dwight. After Michael tells him, Dwight and Andy plan a duel. When they realize Angela has been sleeping with them both, each dumps her. In New York, Michael travels to corporate to meet with David Wallace, who wants to know Michael's methods as the Scranton branch is actually doing well. Not surprisingly, Michael has no insight."
